Input data of 'lab1200LA_2':

Start Time: 2016-12-14 14:16:41
Base: [('0Z', '261.38')]
[0.0], 1481721401.8
[-124.0], 1481721404.31
[-123.63], 1481721404.82
[-123.38], 1481721405.32
[-123.38], 1481721405.83
[-123.63], 1481721406.33
[-123.75], 1481721406.84
[-123.63], 1481721407.34
[-123.63], 1481721407.85
[-123.5], 1481721408.35
[-122.88], 1481721409.86
[-123.5], 1481721410.36
[-123.75], 1481721410.87
[-123.5], 1481721411.37
[-123.63], 1481721411.88
[-123.38], 1481721412.38
[-123.25], 1481721412.89
[-123.25], 1481721413.39
[-123.0], 1481721413.89
[-123.13], 1481721414.4
[-123.38], 1481721414.9
[-123.5], 1481721416.41
[-123.38], 1481721416.91
[-123.38], 1481721417.42
[-123.38], 1481721417.92
[-123.5], 1481721418.43
[-123.5], 1481721418.93
[-123.5], 1481721419.44
