Input data of 'lab1200LB_2':

Start Time: 2016-12-14 14:25:02
Base: [('0Z', '259.38')]
[-0.12999999999999545], 1481721902.54
[-138.51], 1481721903.55
[-138.38], 1481721904.05
[-138.26], 1481721904.56
[-138.01], 1481721905.06
[-138.13], 1481721905.57
[-138.13], 1481721906.07
[-138.26], 1481721906.57
[-138.38], 1481721907.08
[-138.26], 1481721907.58
[-138.51], 1481721908.09
[-138.51], 1481721908.59
[-138.26], 1481721909.1
[-138.38], 1481721909.6
[-138.26], 1481721910.11
[-138.26], 1481721910.61
[-138.01], 1481721911.12
[-137.88], 1481721911.62
[-138.38], 1481721912.12
[-138.38], 1481721912.63
[-138.38], 1481721913.13
[-138.51], 1481721913.64
[-138.26], 1481721914.14
[-138.26], 1481721914.65
[-138.26], 1481721915.15
[-138.38], 1481721915.66
[-138.76], 1481721916.16
[-138.26], 1481721916.67
[-138.38], 1481721917.17
[-138.63], 1481721917.68
[-138.38], 1481721918.18
[-138.51], 1481721918.69
[-138.01], 1481721919.19
[-138.01], 1481721919.7
[-138.26], 1481721920.2
[-138.26], 1481721920.7
[-138.63], 1481721921.21
[-138.63], 1481721921.71
[-138.51], 1481721922.22
[-138.26], 1481721922.72
[-138.38], 1481721923.23
[-138.63], 1481721923.73
[-138.13], 1481721924.24
[-138.13], 1481721924.74
[-138.38], 1481721925.25
[-138.13], 1481721925.75
[-138.51], 1481721926.25
[-139.01], 1481721926.76
[-138.63], 1481721927.26
[-138.38], 1481721927.77
[-138.01], 1481721928.27
[-138.13], 1481721928.78
[-138.38], 1481721929.28
[-138.01], 1481721929.79
[-138.01], 1481721930.29
[-138.26], 1481721930.79
[-138.38], 1481721931.3
[-138.38], 1481721931.8
[-138.13], 1481721932.31
[-138.38], 1481721932.81
[-138.63], 1481721933.32
[-138.38], 1481721933.82
[-138.26], 1481721934.32
[-138.13], 1481721934.83
[-138.26], 1481721935.33
[-138.26], 1481721935.84
[-138.26], 1481721936.34
[-138.63], 1481721936.85
[-138.38], 1481721937.35
[-138.13], 1481721937.86
[-138.38], 1481721938.36
