Input data of 'lab500A_1':

Start Time: 2016-12-14 13:12:57
Base: [('0Z', '372.88')]
[0.12000000000000455], 1481717577.27
[-25.75], 1481717578.28
[-26.25], 1481717579.28
[-25.5], 1481717579.79
[-25.25], 1481717580.29
[-26.0], 1481717580.79
[-25.75], 1481717581.3
[-25.5], 1481717581.8
[-26.25], 1481717582.31
[-25.629999999999995], 1481717582.81
[-25.0], 1481717583.32
[-25.25], 1481717583.82
[-25.5], 1481717584.33
[-25.129999999999995], 1481717584.83
[-25.75], 1481717585.34
[-25.25], 1481717586.84
[-25.25], 1481717587.35
[-27.0], 1481717588.35
[-25.25], 1481717589.36
[-25.5], 1481717589.86
[-26.5], 1481717590.87
[-24.629999999999995], 1481717591.87
[-25.129999999999995], 1481717592.37
[-25.629999999999995], 1481717592.88
[-25.75], 1481717593.38
[-25.5], 1481717593.88
[-25.379999999999995], 1481717594.39
[-26.0], 1481717594.89
[-26.0], 1481717595.4
[-25.25], 1481717595.9
[-25.25], 1481717596.41
[-26.25], 1481717598.41
[-26.129999999999995], 1481717598.92
[-26.879999999999995], 1481717599.42
[-25.5], 1481717600.43
[-25.75], 1481717600.93
[-25.879999999999995], 1481717601.44
[-26.379999999999995], 1481717601.94
[-26.5], 1481717602.44
[-26.5], 1481717602.95
[-26.629999999999995], 1481717603.45
[-26.0], 1481717603.96
[-25.0], 1481717606.97
[-25.379999999999995], 1481717607.47
[-25.25], 1481717609.48
[-25.5], 1481717609.98
[-25.5], 1481717610.49
[-25.379999999999995], 1481717610.99
[-25.75], 1481717611.5
[-26.379999999999995], 1481717612.0
[-26.0], 1481717612.51
[-25.75], 1481717613.01
[-25.75], 1481717613.52
[-25.379999999999995], 1481717614.03
[-25.0], 1481717614.53
[-25.0], 1481717615.03
[-26.379999999999995], 1481717616.04
[-25.0], 1481717617.04
[-26.25], 1481717618.05
[-25.0], 1481717619.05
[-25.0], 1481717619.56
[-24.879999999999995], 1481717620.06
[-24.879999999999995], 1481717623.07
[-25.25], 1481717623.58
[-25.5], 1481717624.58
[-25.129999999999995], 1481717625.08
[-25.25], 1481717625.59
[-25.0], 1481717626.09
[-24.879999999999995], 1481717626.6
[-26.129999999999995], 1481717627.6
[-25.379999999999995], 1481717628.11
[-25.379999999999995], 1481717628.61
[-25.129999999999995], 1481717629.12
[-25.129999999999995], 1481717629.62
[-25.129999999999995], 1481717630.13
[-25.379999999999995], 1481717630.63
[-25.5], 1481717631.14
[-25.25], 1481717631.64
[-25.379999999999995], 1481717633.65
[-25.0], 1481717634.15
[-24.879999999999995], 1481717634.66
[-24.75], 1481717635.16
