Input data of 'lab500B_3':

Start Time: 2016-12-14 13:22:38
Base: [('0Z', '389.88')]
[0.12000000000000455], 1481718158.05
[-54.25], 1481718159.09
[-53.629999999999995], 1481718159.6
[-53.75], 1481718160.1
[-53.379999999999995], 1481718162.11
[-53.0], 1481718162.61
[-53.0], 1481718163.12
[-53.0], 1481718163.62
[-53.0], 1481718164.12
[-53.129999999999995], 1481718164.63
[-53.379999999999995], 1481718165.13
[-54.25], 1481718166.14
[-54.129999999999995], 1481718166.64
[-54.25], 1481718167.15
[-53.379999999999995], 1481718168.15
[-53.5], 1481718168.66
[-53.25], 1481718169.16
[-53.75], 1481718169.67
[-53.879999999999995], 1481718170.17
[-54.0], 1481718170.68
[-54.5], 1481718171.18
[-53.75], 1481718171.68
[-53.129999999999995], 1481718172.19
[-53.25], 1481718172.69
[-53.129999999999995], 1481718173.2
[-53.75], 1481718173.7
[-53.129999999999995], 1481718175.21
[-53.0], 1481718175.71
[-53.25], 1481718176.22
[-53.129999999999995], 1481718176.72
[-53.129999999999995], 1481718177.23
[-53.379999999999995], 1481718177.73
[-53.379999999999995], 1481718178.24
[-53.25], 1481718178.74
[-53.129999999999995], 1481718179.25
