Input data of 'lab500LA_1':

Start Time: 2016-12-14 14:01:35
Base: [('0Z', '347.00')]
[0.0], 1481720495.36
[-51.75], 1481720496.37
[-51.620000000000005], 1481720496.88
[-51.75], 1481720497.38
[-51.75], 1481720497.88
[-51.620000000000005], 1481720498.39
[-51.75], 1481720498.89
[-51.870000000000005], 1481720499.4
[-52.0], 1481720499.9
[-52.0], 1481720500.41
[-52.0], 1481720500.91
[-52.0], 1481720501.41
[-52.0], 1481720503.42
[-51.870000000000005], 1481720503.93
[-52.120000000000005], 1481720504.43
[-52.120000000000005], 1481720504.94
[-51.75], 1481720505.44
[-51.870000000000005], 1481720505.95
[-51.870000000000005], 1481720506.45
[-51.75], 1481720506.96
[-51.870000000000005], 1481720507.46
[-51.870000000000005], 1481720507.97
[-51.870000000000005], 1481720508.47
[-52.0], 1481720508.98
[-52.0], 1481720509.48
[-52.120000000000005], 1481720509.99
[-52.120000000000005], 1481720510.49
[-52.0], 1481720511.0
[-52.0], 1481720511.5
[-52.0], 1481720512.01
[-52.0], 1481720512.51
[-52.0], 1481720513.02
[-52.0], 1481720513.52
[-52.0], 1481720514.02
[-51.870000000000005], 1481720514.53
[-51.870000000000005], 1481720515.03
[-51.75], 1481720515.54
[-51.75], 1481720516.04
[-51.75], 1481720516.55
[-51.620000000000005], 1481720517.05
[-51.870000000000005], 1481720517.55
[-51.870000000000005], 1481720518.06
[-51.870000000000005], 1481720518.56
[-52.0], 1481720519.07
[-51.870000000000005], 1481720519.57
[-51.870000000000005], 1481720520.08
[-51.870000000000005], 1481720520.58
[-51.75], 1481720521.09
[-51.870000000000005], 1481720523.09
[-51.870000000000005], 1481720523.6
[-51.870000000000005], 1481720524.1
[-52.0], 1481720524.61
[-52.0], 1481720525.11
[-52.0], 1481720525.62
[-51.870000000000005], 1481720526.12
[-51.870000000000005], 1481720526.63
[-52.0], 1481720527.13
